"PROJ","CLASSIFIER","ITERATION","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","PRECISION","RECALL","AUC","KAPPA","NPOFB","TP","FP","TN","FN","%_OF_TRAINING"
"BOOKKEEPER","RandomForest","1","NO","NO","NO","NaN","0","0,5","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","NaiveBayes","1","NO","NO","NO","0,16279","0,16667","0,19339","-0,44199","0","21.0","108.0","69.0","105.0","49,83444"
"BOOKKEEPER","IBk","1","NO","NO","NO","NaN","0","0,54275","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","RandomForest","1","BEST FIRST","NO","NO","NaN","0","0,5","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","NaiveBayes","1","BEST FIRST","NO","NO","NaN","0","0,29946","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","IBk","1","BEST FIRST","NO","NO","NaN","0","0,67173","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","RandomForest","1","BEST FIRST","UNDERSAMPLING","NO","NaN","0","0,5","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","NaiveBayes","1","BEST FIRST","UNDERSAMPLING","NO","NaN","0","0,29946","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","IBk","1","BEST FIRST","UNDERSAMPLING","NO","NaN","0","0,67173","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","RandomForest","1","BEST FIRST","OVERSAMPLING","NO","NaN","0","0,5","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","NaiveBayes","1","BEST FIRST","OVERSAMPLING","NO","NaN","0","0,28228","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","IBk","1","BEST FIRST","OVERSAMPLING","NO","NaN","0","0,66929","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","RandomForest","1","BEST FIRST","NO","SENSITIVE_LEARNING","NaN","0","0,5","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","NaiveBayes","1","BEST FIRST","NO","SENSITIVE_LEARNING","NaN","0","0,29946","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","IBk","1","BEST FIRST","NO","SENSITIVE_LEARNING","NaN","0","0,67173","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","RandomForest","2","NO","NO","NO","0,34524","0,34524","0,72944","0,20088","0","29.0","55.0","326.0","55.0","56,5014"
"BOOKKEEPER","NaiveBayes","2","NO","NO","NO","0,7","0,08333","0,70646","0,11492","0","7.0","3.0","378.0","77.0","56,5014"
"BOOKKEEPER","IBk","2","NO","NO","NO","0,26496","0,36905","0,62809","0,12429","0","31.0","86.0","295.0","53.0","56,5014"
"BOOKKEEPER","RandomForest","2","BEST FIRST","NO","NO","0,41538","0,32143","0,69594","0,24313","0","27.0","38.0","343.0","57.0","56,5014"
"BOOKKEEPER","NaiveBayes","2","BEST FIRST","NO","NO","0,5","0,02381","0,74669","0,02952","0","2.0","2.0","379.0","82.0","56,5014"
"BOOKKEEPER","IBk","2","BEST FIRST","NO","NO","0,3494","0,34524","0,65307","0,20445","0","29.0","54.0","327.0","55.0","56,5014"
