"VERSION","FILE_NAME","LOC","LOC_TOUCHED","NUMBER_OF_REVISIONS","LOC_ADDED","AVG_LOC_ADDED","NUMBER_OF_AUTHORS","MAX_LOC_ADDED","TOTAL_LOC_REMOVED","MAX_LOC_REMOVED","AVG_LOC_TOUCHED","BUGGY"
"1","build-tools/src/main/java/org/apache/syncope/buildtools/ApacheDSRootDseServlet.java","62","62","1","62","62.0","1","62","0","0","62","NO"
"1","build-tools/src/main/java/org/apache/syncope/buildtools/ApacheDSStartStopListener.java","143","143","1","143","143.0","1","143","0","0","143","NO"
"1","build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java","65","65","1","65","65.0","1","65","0","0","65","NO"
"1","build-tools/src/main/java/org/apache/syncope/buildtools/JarSchemaLdifExtractor.java","94","94","1","94","94.0","1","94","0","0","94","NO"
"1","client/src/main/java/org/apache/syncope/annotation/FormAttributeField.java","11","11","1","11","11.0","1","11","0","0","11","NO"
"1","client/src/main/java/org/apache/syncope/annotation/SchemaList.java","7","7","1","7","7.0","1","7","0","0","7","NO"
"1","client/src/main/java/org/apache/syncope/client/AbstractBaseBean.java","21","21","1","21","21.0","1","21","0","0","21","NO"
"1","client/src/main/java/org/apache/syncope/client/SyncopeConstants.java","6","15","2","13","6.5","2","7","2","2","7","NO"
"1","client/src/main/java/org/apache/syncope/client/http/HttpClientParams.java","11","13","2","12","6.0","2","11","1","1","6","NO"
"1","client/src/main/java/org/apache/syncope/client/http/PreemptiveAuthHttpRequestFactory.java","38","48","3","43","14.333333333333334","2","38","5","4","16","NO"
"1","client/src/main/java/org/apache/syncope/client/mod/AbstractAttributableMod.java","135","135","2","135","67.5","2","135","0","0","67","NO"
"1","client/src/main/java/org/apache/syncope/client/mod/AttributeMod.java","50","50","1","50","50.0","1","50","0","0","50","NO"
"1","client/src/main/java/org/apache/syncope/client/mod/MembershipMod.java","49","49","1","49","49.0","1","49","0","0","49","NO"
"1","client/src/main/java/org/apache/syncope/client/mod/ReferenceMod.java","14","14","1","14","14.0","1","14","0","0","14","NO"
"1","client/src/main/java/org/apache/syncope/client/mod/RoleMod.java","90","90","1","90","90.0","1","90","0","0","90","NO"
"1","client/src/main/java/org/apache/syncope/client/mod/UserMod.java","58","58","1","58","58.0","1","58","0","0","58","NO"
"1","client/src/main/java/org/apache/syncope/client/report/AbstractReportletConf.java","20","20","1","20","20.0","1","20","0","0","20","NO"
"1","client/src/main/java/org/apache/syncope/client/report/ReportletConf.java","6","6","1","6","6.0","1","6","0","0","6","NO"
"1","client/src/main/java/org/apache/syncope/client/report/StaticReportletConf.java","61","61","1","61","61.0","1","61","0","0","61","NO"
"1","client/src/main/java/org/apache/syncope/client/report/UserReportletConf.java","70","70","1","70","70.0","1","70","0","0","70","NO"
"1","client/src/main/java/org/apache/syncope/client/search/AttributeCond.java","46","46","1","46","46.0","1","46","0","0","46","NO"
"1","client/src/main/java/org/apache/syncope/client/search/MembershipCond.java","25","25","1","25","25.0","1","25","0","0","25","NO"
"1","client/src/main/java/org/apache/syncope/client/search/NodeCond.java","141","141","1","141","141.0","1","141","0","0","141","NO"
"1","client/src/main/java/org/apache/syncope/client/search/ResourceCond.java","14","14","1","14","14.0","1","14","0","0","14","NO"
"1","client/src/main/java/org/apache/syncope/client/search/SyncopeUserCond.java","9","9","1","9","9.0","1","9","0","0","9","NO"
"1","client/src/main/java/org/apache/syncope/client/to/AbstractAttributableTO.java","92","92","1","92","92.0","1","92","0","0","92","NO"
"1","client/src/main/java/org/apache/syncope/client/to/AbstractExecTO.java","49","49","1","49","49.0","1","49","0","0","49","NO"
"1","client/src/main/java/org/apache/syncope/client/to/AccountPolicyTO.java","22","22","1","22","22.0","1","22","0","0","22","NO"
"1","client/src/main/java/org/apache/syncope/client/to/AttributeTO.java","45","45","1","45","45.0","1","45","0","0","45","NO"
"1","client/src/main/java/org/apache/syncope/client/to/ConfigurationTO.java","19","19","1","19","19.0","1","19","0","0","19","NO"
"1","client/src/main/java/org/apache/syncope/client/to/ConnBundleTO.java","52","52","1","52","52.0","1","52","0","0","52","NO"
"1","client/src/main/java/org/apache/syncope/client/to/ConnInstanceTO.java","100","100","1","100","100.0","1","100","0","0","100","NO"
"1","client/src/main/java/org/apache/syncope/client/to/ConnObjectTO.java","42","42","1","42","42.0","1","42","0","0","42","NO"
"1","client/src/main/java/org/apache/syncope/client/to/DerivedSchemaTO.java","18","18","1","18","18.0","1","18","0","0","18","NO"
"1","client/src/main/java/org/apache/syncope/client/to/LoggerTO.java","20","20","1","20","20.0","1","20","0","0","20","NO"
"1","client/src/main/java/org/apache/syncope/client/to/MembershipTO.java","35","35","1","35","35.0","1","35","0","0","35","NO"
"1","client/src/main/java/org/apache/syncope/client/to/NotificationTO.java","96","96","1","96","96.0","1","96","0","0","96","NO"
"1","client/src/main/java/org/apache/syncope/client/to/NotificationTaskTO.java","62","62","1","62","62.0","1","62","0","0","62","NO"
"1","client/src/main/java/org/apache/syncope/client/to/PasswordPolicyTO.java","22","22","1","22","22.0","1","22","0","0","22","NO"
"1","client/src/main/java/org/apache/syncope/client/to/PolicyTO.java","24","24","1","24","24.0","1","24","0","0","24","NO"
"1","client/src/main/java/org/apache/syncope/client/to/PropagationTO.java","34","34","1","34","34.0","1","34","0","0","34","NO"
"1","client/src/main/java/org/apache/syncope/client/to/PropagationTaskTO.java","55","55","1","55","55.0","1","55","0","0","55","NO"
"1","client/src/main/java/org/apache/syncope/client/to/ReportExecTO.java","15","15","1","15","15.0","1","15","0","0","15","NO"
"1","client/src/main/java/org/apache/syncope/client/to/ReportTO.java","90","112","2","112","56.0","2","90","0","0","56","NO"
"1","client/src/main/java/org/apache/syncope/client/to/ResourceTO.java","147","147","1","147","147.0","1","147","0","0","147","NO"
"1","client/src/main/java/org/apache/syncope/client/to/RoleTO.java","107","107","1","107","107.0","1","107","0","0","107","NO"
"1","client/src/main/java/org/apache/syncope/client/to/SchedTaskTO.java","41","41","1","41","41.0","1","41","0","0","41","NO"
"1","client/src/main/java/org/apache/syncope/client/to/SchemaMappingTO.java","54","54","1","54","54.0","1","54","0","0","54","NO"
"1","client/src/main/java/org/apache/syncope/client/to/SchemaTO.java","75","82","2","82","41.0","2","75","0","0","41","NO"
"1","client/src/main/java/org/apache/syncope/client/to/SyncPolicyTO.java","22","22","1","22","22.0","1","22","0","0","22","NO"
"1","client/src/main/java/org/apache/syncope/client/to/SyncTaskTO.java","60","60","1","60","60.0","1","60","0","0","60","NO"
"1","client/src/main/java/org/apache/syncope/client/to/TaskExecTO.java","11","11","1","11","11.0","1","11","0","0","11","NO"
"1","client/src/main/java/org/apache/syncope/client/to/TaskTO.java","38","61","2","61","30.5","2","38","0","0","30","NO"
"1","client/src/main/java/org/apache/syncope/client/to/UserRequestTO.java","48","48","1","48","48.0","1","48","0","0","48","NO"
"1","client/src/main/java/org/apache/syncope/client/to/UserTO.java","144","144","1","144","144.0","1","144","0","0","144","NO"
"1","client/src/main/java/org/apache/syncope/client/to/VirtualSchemaTO.java","11","11","1","11","11.0","1","11","0","0","11","NO"
"1","client/src/main/java/org/apache/syncope/client/to/WorkflowDefinitionTO.java","19","19","1","19","19.0","1","19","0","0","19","NO"
"1","client/src/main/java/org/apache/syncope/client/to/WorkflowFormPropertyTO.java","82","82","1","82","82.0","1","82","0","0","82","NO"
"1","client/src/main/java/org/apache/syncope/client/to/WorkflowFormTO.java","100","100","1","100","100.0","1","100","0","0","100","NO"
"1","client/src/main/java/org/apache/syncope/client/util/AttributableOperations.java","240","282","2","269","134.5","2","240","13","13","141","NO"
"1","client/src/main/java/org/apache/syncope/client/util/XMLSerializer.java","30","30","1","30","30.0","1","30","0","0","30","NO"
"1","client/src/main/java/org/apache/syncope/client/validation/SyncopeClientCompositeErrorException.java","61","61","1","61","61.0","1","61","0","0","61","NO"
"1","client/src/main/java/org/apache/syncope/client/validation/SyncopeClientErrorHandler.java","56","56","1","56","56.0","1","56","0","0","56","NO"
"1","client/src/main/java/org/apache/syncope/client/validation/SyncopeClientException.java","42","42","1","42","42.0","1","42","0","0","42","NO"
"1","client/src/main/java/org/apache/syncope/types/AbstractPolicySpec.java","7","7","1","7","7.0","1","7","0","0","7","NO"
"1","client/src/main/java/org/apache/syncope/types/AccountPolicySpec.java","90","90","1","90","90.0","1","90","0","0","90","NO"
"1","client/src/main/java/org/apache/syncope/types/AttributableType.java","6","6","1","6","6.0","1","6","0","0","6","NO"
"1","client/src/main/java/org/apache/syncope/types/AuditElements.java","173","173","1","173","173.0","1","173","0","0","173","NO"
"1","client/src/main/java/org/apache/syncope/types/AuditLoggerName.java","61","67","2","64","32.0","1","61","3","3","33","NO"
"1","client/src/main/java/org/apache/syncope/types/CipherAlgorithm.java","14","14","1","14","14.0","1","14","0","0","14","NO"
"1","client/src/main/java/org/apache/syncope/types/ConflictResolutionAction.java","7","7","1","7","7.0","1","7","0","0","7","NO"
"1","client/src/main/java/org/apache/syncope/types/ConnConfPropSchema.java","57","64","2","64","32.0","2","57","0","0","32","NO"
