"PROJ","CLASSIFIER","ITERATION","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","PRECISION","RECALL","AUC","KAPPA","NPOFB","TP","FP","TN","FN","%_OF_TRAINING"
"SYNCOPE","RandomForest","1","NO","NO","NO","NaN","0","0,5","0","0,09091","0.0","0.0","539.0","12.0","74,21619"
"SYNCOPE","NaiveBayes","1","NO","NO","NO","0","0","0,36054","-0,02402","0,08333","0.0","14.0","525.0","12.0","74,21619"
"SYNCOPE","IBk","1","NO","NO","NO","NaN","0","0,55102","0","0,09091","0.0","0.0","539.0","12.0","74,21619"
"SYNCOPE","RandomForest","1","BEST FIRST","NO","NO","NaN","0","0,5","0","0,09091","0.0","0.0","539.0","12.0","74,21619"
"SYNCOPE","NaiveBayes","1","BEST FIRST","NO","NO","NaN","0","0,76075","0","0,25","0.0","0.0","539.0","12.0","74,21619"
"SYNCOPE","IBk","1","BEST FIRST","NO","NO","NaN","0","0,83619","0","0,18182","0.0","0.0","539.0","12.0","74,21619"
"SYNCOPE","RandomForest","1","BEST FIRST","UNDERSAMPLING","NO","NaN","0","0,5","0","0,09091","0.0","0.0","539.0","12.0","74,21619"
"SYNCOPE","NaiveBayes","1","BEST FIRST","UNDERSAMPLING","NO","NaN","0","0,76075","0","0,25","0.0","0.0","539.0","12.0","74,21619"
"SYNCOPE","IBk","1","BEST FIRST","UNDERSAMPLING","NO","NaN","0","0,83619","0","0,18182","0.0","0.0","539.0","12.0","74,21619"
"SYNCOPE","RandomForest","1","BEST FIRST","OVERSAMPLING","NO","NaN","0","0,5","0","0,09091","0.0","0.0","539.0","12.0","74,21619"
"SYNCOPE","NaiveBayes","1","BEST FIRST","OVERSAMPLING","NO","NaN","0","0,75557","0","0,25","0.0","0.0","539.0","12.0","74,21619"
"SYNCOPE","IBk","1","BEST FIRST","OVERSAMPLING","NO","NaN","0","0,85374","0","0,33333","0.0","0.0","539.0","12.0","74,21619"
"SYNCOPE","RandomForest","1","BEST FIRST","NO","SENSITIVE_LEARNING","NaN","0","0,5","0","0,09091","0.0","0.0","539.0","12.0","74,21619"
"SYNCOPE","NaiveBayes","1","BEST FIRST","NO","SENSITIVE_LEARNING","NaN","0","0,76075","0","0,25","0.0","0.0","539.0","12.0","74,21619"
"SYNCOPE","IBk","1","BEST FIRST","NO","SENSITIVE_LEARNING","NaN","0","0,83619","0","0,18182","0.0","0.0","539.0","12.0","74,21619"
"SYNCOPE","RandomForest","2","NO","NO","NO","0,2","0,09091","0,87152","0,11398","0,63636","1.0","4.0","538.0","10.0","79,44238"
"SYNCOPE","NaiveBayes","2","NO","NO","NO","0,0203","1","0,70346","0,00082","0,09091","11.0","531.0","11.0","0.0","79,44238"
"SYNCOPE","IBk","2","NO","NO","NO","0,27273","0,27273","0,91186","0,25797","0,54545","3.0","8.0","534.0","8.0","79,44238"
"SYNCOPE","RandomForest","2","BEST FIRST","NO","NO","1","0,27273","0,98801","0,42366","1","3.0","0.0","542.0","8.0","79,44238"
"SYNCOPE","NaiveBayes","2","BEST FIRST","NO","NO","0,17647","0,27273","0,70572","0,19484","0,27273","3.0","14.0","528.0","8.0","79,44238"
"SYNCOPE","IBk","2","BEST FIRST","NO","NO","0,28571","0,18182","0,9132","0,21","0,4","2.0","5.0","537.0","9.0","79,44238"
